Institut Municipal d Educacio de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  IMEB;PER UNA UNIV  COMPROMESA I RESPONSABLE SOCIALMENT: IMPULS XARXA APSUCAT;200000
Institut de Cultura de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  ICUB;CONGRES INTERNACIONAL  HUMANITATS CIENCIA I TECNOLOGIA AL SEGLE XXI ;350000
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2019 2020;12960
Institut de Cultura de Barcelona;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Financament activitats de  La Veinal 2020 ;670000
Ajuntament de Barcelona;2018;Subvencions d Economia Cooperativa Social i Solidaria;Quepo Coopera;719614
Ajuntament de Barcelona;2013;Expedient organ gestor Districte de Nou Barris;FESTES DE NADAL I CABALCADA DE REIS;80000
Ajuntament de Barcelona;2013;Expedient organ gestor Districte de Nou Barris;SUPORT A L ENTITAT;40000
Ajuntament de Barcelona;2013;Expedient organ gestor Districte de Nou Barris;FESTES MAJOR DEL TURO DE LA PEIRA;100000
Ajuntament de Barcelona;2020;CONVOCATORIA GENERAL DE SUBVENCIONS 2020  SANT ANDREU;ESPORTS  ;39000
Ajuntament de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  SANT ANDREU;SUPORT A LES ACTIVITATS FISIQUES A CLUBS O EN;120000
Institut Municipal Barcelona Esports;2018;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 1r pagament;0
Ajuntament de Barcelona;2020;CONVOCATORIA GENERAL DE SUBVENCIONS 2020  SANT ANDREU;DIMONIS A LA DE UNA AMB LA CULTURA I LA NATURA;18000
Ajuntament de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  SANT ANDREU;COMPARTINT L ILUSIO PER EL FOC;5000
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  SANT ANDREU;NOUS PER A TOTHOM;54200
Institut de Cultura de Barcelona;2019;TRANSFERENCIES ENS PUBLICS I ALTRES;BPA ampliacio claveguerons;160000
Ajuntament de Barcelona;2022;CONVOCATORIA GENERAL DE SUBVENCIONS 2021  SANT ANDREU;Centre de recursos sociolaborals;100000
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  SANT ANDREU;CULTURA INTERBARRIAL;12000
Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  SANT ANDREU;ACTIVITATS 2018;12500
Ajuntament de Barcelona;2022;Convocatoria 2022 Promocio i Reforc Economia Social i Solidaria;Tandem Go millora de la digitalitzacio dels processos de la plataforma de;100000
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 2n  pagament;12000
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 2n  pagament;7560
Ajuntament de Barcelona;2013;Expedient organ gestor Districte Sant Andreu 0609;APRENENTATGE DEL CANT CORAL;10000
Ajuntament de Barcelona;2014;Convocatoria de subvencions 2014  Districte de Sant Andreu;APRENENTATGE DEL CANT CORAL;15000
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  SANT ANDREU;APRENENTATGE DE CANT CORAL;15000
Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  SANT ANDREU;APRENENTATGE DEL CANT CORAL;10000
Ajuntament de Barcelona;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Centre d Interpretacio Tres Tombs Sant Andreu;720000
Ajuntament de Barcelona;2015;SUBVENCIONS DIRECTES amb o sense CONVENI;conveni projecte Centre Interpretacio dels 3 Tombs;11951313
Ajuntament de Barcelona;2018;SUBVENCIONS NOMINATIVES;Subv  projecte centre interpretacio Tres Tombs;360000
Ajuntament de Barcelona;2020;Convocatoria 2020 Promocio i Reforc de l Economia Social i Solid;Una altra economia es possible la coneixes?;100000
Ajuntament de Barcelona;2018;Subvencions d Economia Cooperativa Social i Solidaria;Una altra economia es possible entendre la tambe ;147900
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;15750
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;6741
Institut Municipal Barcelona Esports;2021;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;383402
Ajuntament de Barcelona;2021;CONVOCATORIA GENERAL DE SUBVENCIONS 2021  SANT ANDREU;TROBADA D HANDBOL SANT ANDREU 2021;30000
Institut Municipal Barcelona Esports;2021;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;458446
Ajuntament de Barcelona;2019;CONVOCATORIA GENERAL DE SUBVENCIONS 2019  HORTA GUINARDO;futbol sala estel vallseca;60000
Ajuntament de Barcelona;2011;convocatoria general subvencions Districte Horta Guinardo;ESTEL VALLSECA;40000
Ajuntament de Barcelona;2014;Convocatoria de subvencions 2014  Districte d Horta Guinardo;ESTEL 2014;40000
Ajuntament de Barcelona;2021;CONVOCATORIA GENERAL DE SUBVENCIONS 2021  HORTA GUINARDO;FUTBOL SALA ESTEL VALLSECA;76410
Institut Municipal Barcelona Esports;2017;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2017 2018 1r pagament;0
Institut Municipal Barcelona Esports;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 2n  pagament;21939
Ajuntament de Barcelona;2020;CONVOCATORIA GENERAL DE SUBVENCIONS 2020  SANT MARTI;Esport del barri pel barri CFSRosarioCentral;44000
Institut Municipal Barcelona Esports;2020;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;77963
Ajuntament de Barcelona;2021;CONVOCATORIA GENERAL DE SUBVENCIONS 2021  SANT MARTI;Promocio futbol sala femeni Verneda i la Pau;20750
Institut Municipal Barcelona Esports;2018;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2018 2019 1r pagament;0
Institut Municipal Barcelona Esports;2021;SUBVENCIONS DIRECTES amb o sense CONVENI;Ajuts 2020 2021;39375
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;79680
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;14400
Ajuntament de Barcelona;2017;CONVOCATORIA GENERAL DE SUBVENCIONS 2017  SANT ANDREU;PARTICIPACIO A LA COMPETICIO ESPORTIVA DE 2A I 4A CATALANA I VETERANS DE FU;797379
Ajuntament de Barcelona;2018;CONVOCATORIA GENERAL DE SUBVENCIONS 2018  SANT ANDREU;Participacio a la competicio esportiva de 2a i 4a Catalana i Veterans de fu;797379
Institut Municipal del Paisatge Urba i la Qualitat de Vida;2017;SUBVENCIONS NO TELEMATIQUES;DT03 04 Projecte Cobertes Verdes;15000
Institut Municipal Barcelona Esports;2021;AJUTS;Ajut del programa;5790
Institut de Cultura de Barcelona;2019;SUBVENCIONS DIRECTES amb o sense CONVENI;Premis  Matchfunding  Fabra i Coats 2020;80000
Ajuntament de Barcelona;2021;Enllumenat Nadalenc 2021;Enllumenat de Nadal Via Guinardo;242775
Ajuntament de Barcelona;2018;Subvencions d Economia Cooperativa Social i Solidaria;OBTENCIO LLICENCIA D ACTIVITATS D HABITATGE PER LA COOPERATIVA;90000
Institut Municipal del Paisatge Urba i la Qualitat de Vida;2018;SUBVENCIONS NO TELEMATIQUES;DT03_04  Projecte Cobertes Verdes;15000
